INFO:root:Starting EM-Lab Run
INFO:root:emlab database: sqlite:///C:\Users\isanchezjimene\Documents\TraderesCode\toolbox-amiris-emlab\.spinetoolbox\items\emlabdb\EmlabDB.sqlite
INFO:root:SpineDBRW: Start Read Repository
WARNING:root:No value found for class: node, object: CO2, parameter: annual_resource_limit
WARNING:root:No value found for class: TechnologiesEmlab, object: CCGT_CHP_backpressure_PH, parameter: ApplicableForLongTermContract
WARNING:root:No value found for class: TechnologiesEmlab, object: CCS, parameter: ApplicableForLongTermContract
WARNING:root:No value found for class: TechnologiesEmlab, object: CSP_Parabolic, parameter: ApplicableForLongTermContract
WARNING:root:No value found for class: TechnologiesEmlab, object: CSP_Tower, parameter: ApplicableForLongTermContract
WARNING:root:No value found for class: TechnologiesEmlab, object: Hydrogen_to_Jet_Fuel, parameter: ApplicableForLongTermContract
WARNING:root:No value found for class: TechnologiesEmlab, object: Hydropower_reservoir_large, parameter: ApplicableForLongTermContract
WARNING:root:No value found for class: TechnologiesEmlab, object: Hydropower_reservoir_small, parameter: ApplicableForLongTermContract
WARNING:root:No value found for class: TechnologiesEmlab, object: Nuclear_CHP_DH, parameter: ApplicableForLongTermContract
WARNING:root:No value found for class: TechnologiesEmlab, object: Nuclear_CHP_PH, parameter: ApplicableForLongTermContract
WARNING:root:No value found for class: TechnologiesEmlab, object: PEM_Electrolyzer, parameter: ApplicableForLongTermContract
WARNING:root:No value found for class: TechnologiesEmlab, object: PV_commercial_systems, parameter: ApplicableForLongTermContract
WARNING:root:No value found for class: TechnologiesEmlab, object: PV_residential, parameter: ApplicableForLongTermContract
WARNING:root:No value found for class: TechnologiesEmlab, object: Power_to_Jet_Fuel, parameter: ApplicableForLongTermContract
WARNING:root:No value found for class: TechnologiesEmlab, object: Wave_energy, parameter: ApplicableForLongTermContract
WARNING:root:No value found for class: TechnologiesEmlab, object: CCGT_CHP_backpressure_DH, parameter: CCS TRANSPORT
WARNING:root:No value found for class: TechnologiesEmlab, object: CCGT_CHP_backpressure_PH, parameter: CCS TRANSPORT
WARNING:root:No value found for class: TechnologiesEmlab, object: CSP_Parabolic, parameter: CCS TRANSPORT
WARNING:root:No value found for class: TechnologiesEmlab, object: CSP_Tower, parameter: CCS TRANSPORT
WARNING:root:No value found for class: TechnologiesEmlab, object: Coal PSC, parameter: CCS TRANSPORT
WARNING:root:No value found for class: TechnologiesEmlab, object: Fuel oil PGT, parameter: CCS TRANSPORT
WARNING:root:No value found for class: TechnologiesEmlab, object: Hydrogen_to_Jet_Fuel, parameter: CCS TRANSPORT
WARNING:root:No value found for class: TechnologiesEmlab, object: Hydropower_reservoir_large, parameter: CCS TRANSPORT
WARNING:root:No value found for class: TechnologiesEmlab, object: Hydropower_reservoir_medium, parameter: CCS TRANSPORT
WARNING:root:No value found for class: TechnologiesEmlab, object: Hydropower_reservoir_small, parameter: CCS TRANSPORT
WARNING:root:No value found for class: TechnologiesEmlab, object: Lignite PSC, parameter: CCS TRANSPORT
WARNING:root:No value found for class: TechnologiesEmlab, object: Lithium_ion_battery, parameter: CCS TRANSPORT
WARNING:root:No value found for class: TechnologiesEmlab, object: Nuclear_CHP_DH, parameter: CCS TRANSPORT
WARNING:root:No value found for class: TechnologiesEmlab, object: Nuclear_CHP_PH, parameter: CCS TRANSPORT
WARNING:root:No value found for class: TechnologiesEmlab, object: PEM_Electrolyzer, parameter: CCS TRANSPORT
WARNING:root:No value found for class: TechnologiesEmlab, object: PV_commercial_systems, parameter: CCS TRANSPORT
WARNING:root:No value found for class: TechnologiesEmlab, object: PV_residential, parameter: CCS TRANSPORT
WARNING:root:No value found for class: TechnologiesEmlab, object: Power_to_Jet_Fuel, parameter: CCS TRANSPORT
WARNING:root:No value found for class: TechnologiesEmlab, object: Pumped_hydro, parameter: CCS TRANSPORT
WARNING:root:No value found for class: TechnologiesEmlab, object: Wave_energy, parameter: CCS TRANSPORT
WARNING:root:No value found for class: TechnologiesEmlab, object: CCGT_CHP_backpressure_DH, parameter: FIXED O&M
WARNING:root:No value found for class: TechnologiesEmlab, object: CCGT_CHP_backpressure_PH, parameter: FIXED O&M
WARNING:root:No value found for class: TechnologiesEmlab, object: CSP_Parabolic, parameter: FIXED O&M
WARNING:root:No value found for class: TechnologiesEmlab, object: CSP_Tower, parameter: FIXED O&M
WARNING:root:No value found for class: TechnologiesEmlab, object: Coal PSC, parameter: FIXED O&M
WARNING:root:No value found for class: TechnologiesEmlab, object: Fuel oil PGT, parameter: FIXED O&M
WARNING:root:No value found for class: TechnologiesEmlab, object: Hydrogen_to_Jet_Fuel, parameter: FIXED O&M
WARNING:root:No value found for class: TechnologiesEmlab, object: Hydropower_reservoir_large, parameter: FIXED O&M
WARNING:root:No value found for class: TechnologiesEmlab, object: Hydropower_reservoir_medium, parameter: FIXED O&M
WARNING:root:No value found for class: TechnologiesEmlab, object: Hydropower_reservoir_small, parameter: FIXED O&M
WARNING:root:No value found for class: TechnologiesEmlab, object: Lignite PSC, parameter: FIXED O&M
WARNING:root:No value found for class: TechnologiesEmlab, object: Lithium_ion_battery, parameter: FIXED O&M
WARNING:root:No value found for class: TechnologiesEmlab, object: Nuclear_CHP_DH, parameter: FIXED O&M
WARNING:root:No value found for class: TechnologiesEmlab, object: Nuclear_CHP_PH, parameter: FIXED O&M
WARNING:root:No value found for class: TechnologiesEmlab, object: PEM_Electrolyzer, parameter: FIXED O&M
WARNING:root:No value found for class: TechnologiesEmlab, object: PV_commercial_systems, parameter: FIXED O&M
WARNING:root:No value found for class: TechnologiesEmlab, object: PV_residential, parameter: FIXED O&M
WARNING:root:No value found for class: TechnologiesEmlab, object: Power_to_Jet_Fuel, parameter: FIXED O&M
WARNING:root:No value found for class: TechnologiesEmlab, object: Pumped_hydro, parameter: FIXED O&M
WARNING:root:No value found for class: TechnologiesEmlab, object: Wave_energy, parameter: FIXED O&M
WARNING:root:No value found for class: TechnologiesEmlab, object: Biomass_CHP_wood_pellets_PH, parameter: FixedOperatingCostModifierAfterLifetime
WARNING:root:No value found for class: TechnologiesEmlab, object: CCGT_CHP_backpressure_DH, parameter: FixedOperatingCostModifierAfterLifetime
WARNING:root:No value found for class: TechnologiesEmlab, object: CCGT_CHP_backpressure_PH, parameter: FixedOperatingCostModifierAfterLifetime
WARNING:root:No value found for class: TechnologiesEmlab, object: CCS, parameter: FixedOperatingCostModifierAfterLifetime
WARNING:root:No value found for class: TechnologiesEmlab, object: CSP_Parabolic, parameter: FixedOperatingCostModifierAfterLifetime
WARNING:root:No value found for class: TechnologiesEmlab, object: CSP_Tower, parameter: FixedOperatingCostModifierAfterLifetime
WARNING:root:No value found for class: TechnologiesEmlab, object: Hydrogen_to_Jet_Fuel, parameter: FixedOperatingCostModifierAfterLifetime
WARNING:root:No value found for class: TechnologiesEmlab, object: Hydropower_reservoir_large, parameter: FixedOperatingCostModifierAfterLifetime
WARNING:root:No value found for class: TechnologiesEmlab, object: Hydropower_reservoir_small, parameter: FixedOperatingCostModifierAfterLifetime
WARNING:root:No value found for class: TechnologiesEmlab, object: Nuclear_CHP_DH, parameter: FixedOperatingCostModifierAfterLifetime
WARNING:root:No value found for class: TechnologiesEmlab, object: Nuclear_CHP_PH, parameter: FixedOperatingCostModifierAfterLifetime
WARNING:root:No value found for class: TechnologiesEmlab, object: PEM_Electrolyzer, parameter: FixedOperatingCostModifierAfterLifetime
WARNING:root:No value found for class: TechnologiesEmlab, object: PV_commercial_systems, parameter: FixedOperatingCostModifierAfterLifetime
WARNING:root:No value found for class: TechnologiesEmlab, object: PV_residential, parameter: FixedOperatingCostModifierAfterLifetime
WARNING:root:No value found for class: TechnologiesEmlab, object: Power_to_Jet_Fuel, parameter: FixedOperatingCostModifierAfterLifetime
WARNING:root:No value found for class: TechnologiesEmlab, object: Wave_energy, parameter: FixedOperatingCostModifierAfterLifetime
WARNING:root:No value found for class: TechnologiesEmlab, object: Biomass_CHP_wood_pellets_PH, parameter: MaximumInstalledCapacityFractionInCountry
WARNING:root:No value found for class: TechnologiesEmlab, object: CCGT_CHP_backpressure_DH, parameter: MaximumInstalledCapacityFractionInCountry
WARNING:root:No value found for class: TechnologiesEmlab, object: CCGT_CHP_backpressure_PH, parameter: MaximumInstalledCapacityFractionInCountry
WARNING:root:No value found for class: TechnologiesEmlab, object: CCS, parameter: MaximumInstalledCapacityFractionInCountry
WARNING:root:No value found for class: TechnologiesEmlab, object: CSP_Parabolic, parameter: MaximumInstalledCapacityFractionInCountry
WARNING:root:No value found for class: TechnologiesEmlab, object: CSP_Tower, parameter: MaximumInstalledCapacityFractionInCountry
WARNING:root:No value found for class: TechnologiesEmlab, object: Hydrogen_to_Jet_Fuel, parameter: MaximumInstalledCapacityFractionInCountry
WARNING:root:No value found for class: TechnologiesEmlab, object: Hydropower_reservoir_large, parameter: MaximumInstalledCapacityFractionInCountry
WARNING:root:No value found for class: TechnologiesEmlab, object: Hydropower_reservoir_small, parameter: MaximumInstalledCapacityFractionInCountry
WARNING:root:No value found for class: TechnologiesEmlab, object: Nuclear_CHP_DH, parameter: MaximumInstalledCapacityFractionInCountry
WARNING:root:No value found for class: TechnologiesEmlab, object: Nuclear_CHP_PH, parameter: MaximumInstalledCapacityFractionInCountry
WARNING:root:No value found for class: TechnologiesEmlab, object: PEM_Electrolyzer, parameter: MaximumInstalledCapacityFractionInCountry
WARNING:root:No value found for class: TechnologiesEmlab, object: PV_commercial_systems, parameter: MaximumInstalledCapacityFractionInCountry
WARNING:root:No value found for class: TechnologiesEmlab, object: PV_residential, parameter: MaximumInstalledCapacityFractionInCountry
WARNING:root:No value found for class: TechnologiesEmlab, object: Power_to_Jet_Fuel, parameter: MaximumInstalledCapacityFractionInCountry
WARNING:root:No value found for class: TechnologiesEmlab, object: Wave_energy, parameter: MaximumInstalledCapacityFractionInCountry
WARNING:root:No value found for class: TechnologiesEmlab, object: Biomass_CHP_wood_pellets_PH, parameter: MaximumInstalledCapacityFractionPerAgent
WARNING:root:No value found for class: TechnologiesEmlab, object: CCGT_CHP_backpressure_DH, parameter: MaximumInstalledCapacityFractionPerAgent
WARNING:root:No value found for class: TechnologiesEmlab, object: CCGT_CHP_backpressure_PH, parameter: MaximumInstalledCapacityFractionPerAgent
WARNING:root:No value found for class: TechnologiesEmlab, object: CCS, parameter: MaximumInstalledCapacityFractionPerAgent
WARNING:root:No value found for class: TechnologiesEmlab, object: CSP_Parabolic, parameter: MaximumInstalledCapacityFractionPerAgent
WARNING:root:No value found for class: TechnologiesEmlab, object: CSP_Tower, parameter: MaximumInstalledCapacityFractionPerAgent
WARNING:root:No value found for class: TechnologiesEmlab, object: Hydrogen_to_Jet_Fuel, parameter: MaximumInstalledCapacityFractionPerAgent
WARNING:root:No value found for class: TechnologiesEmlab, object: Hydropower_reservoir_large, parameter: MaximumInstalledCapacityFractionPerAgent
WARNING:root:No value found for class: TechnologiesEmlab, object: Hydropower_reservoir_small, parameter: MaximumInstalledCapacityFractionPerAgent
WARNING:root:No value found for class: TechnologiesEmlab, object: Nuclear_CHP_DH, parameter: MaximumInstalledCapacityFractionPerAgent
WARNING:root:No value found for class: TechnologiesEmlab, object: Nuclear_CHP_PH, parameter: MaximumInstalledCapacityFractionPerAgent
WARNING:root:No value found for class: TechnologiesEmlab, object: PEM_Electrolyzer, parameter: MaximumInstalledCapacityFractionPerAgent
WARNING:root:No value found for class: TechnologiesEmlab, object: PV_commercial_systems, parameter: MaximumInstalledCapacityFractionPerAgent
WARNING:root:No value found for class: TechnologiesEmlab, object: PV_residential, parameter: MaximumInstalledCapacityFractionPerAgent
WARNING:root:No value found for class: TechnologiesEmlab, object: Power_to_Jet_Fuel, parameter: MaximumInstalledCapacityFractionPerAgent
WARNING:root:No value found for class: TechnologiesEmlab, object: Wave_energy, parameter: MaximumInstalledCapacityFractionPerAgent
WARNING:root:No value found for class: TechnologiesEmlab, object: CCGT_CHP_backpressure_DH, parameter: VAR O&M
WARNING:root:No value found for class: TechnologiesEmlab, object: CCGT_CHP_backpressure_PH, parameter: VAR O&M
WARNING:root:No value found for class: TechnologiesEmlab, object: CSP_Parabolic, parameter: VAR O&M
WARNING:root:No value found for class: TechnologiesEmlab, object: CSP_Tower, parameter: VAR O&M
WARNING:root:No value found for class: TechnologiesEmlab, object: Coal PSC, parameter: VAR O&M
WARNING:root:No value found for class: TechnologiesEmlab, object: Fuel oil PGT, parameter: VAR O&M
WARNING:root:No value found for class: TechnologiesEmlab, object: Hydrogen_to_Jet_Fuel, parameter: VAR O&M
WARNING:root:No value found for class: TechnologiesEmlab, object: Hydropower_reservoir_large, parameter: VAR O&M
WARNING:root:No value found for class: TechnologiesEmlab, object: Hydropower_reservoir_medium, parameter: VAR O&M
WARNING:root:No value found for class: TechnologiesEmlab, object: Hydropower_reservoir_small, parameter: VAR O&M
WARNING:root:No value found for class: TechnologiesEmlab, object: Lignite PSC, parameter: VAR O&M
WARNING:root:No value found for class: TechnologiesEmlab, object: Lithium_ion_battery, parameter: VAR O&M
WARNING:root:No value found for class: TechnologiesEmlab, object: Nuclear_CHP_DH, parameter: VAR O&M
WARNING:root:No value found for class: TechnologiesEmlab, object: Nuclear_CHP_PH, parameter: VAR O&M
WARNING:root:No value found for class: TechnologiesEmlab, object: PEM_Electrolyzer, parameter: VAR O&M
WARNING:root:No value found for class: TechnologiesEmlab, object: PV_commercial_systems, parameter: VAR O&M
WARNING:root:No value found for class: TechnologiesEmlab, object: PV_residential, parameter: VAR O&M
WARNING:root:No value found for class: TechnologiesEmlab, object: Power_to_Jet_Fuel, parameter: VAR O&M
WARNING:root:No value found for class: TechnologiesEmlab, object: Pumped_hydro, parameter: VAR O&M
WARNING:root:No value found for class: TechnologiesEmlab, object: Wave_energy, parameter: VAR O&M
WARNING:root:No value found for class: TechnologiesEmlab, object: CCGT_CHP_backpressure_DH, parameter: expectedLeadtime
WARNING:root:No value found for class: TechnologiesEmlab, object: CCGT_CHP_backpressure_PH, parameter: expectedLeadtime
WARNING:root:No value found for class: TechnologiesEmlab, object: CSP_Parabolic, parameter: expectedLeadtime
WARNING:root:No value found for class: TechnologiesEmlab, object: CSP_Tower, parameter: expectedLeadtime
WARNING:root:No value found for class: TechnologiesEmlab, object: Hydrogen_to_Jet_Fuel, parameter: expectedLeadtime
WARNING:root:No value found for class: TechnologiesEmlab, object: Hydropower_reservoir_large, parameter: expectedLeadtime
WARNING:root:No value found for class: TechnologiesEmlab, object: Hydropower_reservoir_small, parameter: expectedLeadtime
WARNING:root:No value found for class: TechnologiesEmlab, object: Nuclear_CHP_DH, parameter: expectedLeadtime
WARNING:root:No value found for class: TechnologiesEmlab, object: Nuclear_CHP_PH, parameter: expectedLeadtime
WARNING:root:No value found for class: TechnologiesEmlab, object: PEM_Electrolyzer, parameter: expectedLeadtime
WARNING:root:No value found for class: TechnologiesEmlab, object: PV_commercial_systems, parameter: expectedLeadtime
WARNING:root:No value found for class: TechnologiesEmlab, object: PV_residential, parameter: expectedLeadtime
WARNING:root:No value found for class: TechnologiesEmlab, object: Power_to_Jet_Fuel, parameter: expectedLeadtime
WARNING:root:No value found for class: TechnologiesEmlab, object: Wave_energy, parameter: expectedLeadtime
WARNING:root:No value found for class: TechnologiesEmlab, object: CCGT_CHP_backpressure_DH, parameter: expectedPermittime
WARNING:root:No value found for class: TechnologiesEmlab, object: CCGT_CHP_backpressure_PH, parameter: expectedPermittime
WARNING:root:No value found for class: TechnologiesEmlab, object: CSP_Parabolic, parameter: expectedPermittime
WARNING:root:No value found for class: TechnologiesEmlab, object: CSP_Tower, parameter: expectedPermittime
WARNING:root:No value found for class: TechnologiesEmlab, object: Hydrogen_to_Jet_Fuel, parameter: expectedPermittime
WARNING:root:No value found for class: TechnologiesEmlab, object: Hydropower_reservoir_large, parameter: expectedPermittime
WARNING:root:No value found for class: TechnologiesEmlab, object: Hydropower_reservoir_small, parameter: expectedPermittime
WARNING:root:No value found for class: TechnologiesEmlab, object: Nuclear_CHP_DH, parameter: expectedPermittime
WARNING:root:No value found for class: TechnologiesEmlab, object: Nuclear_CHP_PH, parameter: expectedPermittime
WARNING:root:No value found for class: TechnologiesEmlab, object: PEM_Electrolyzer, parameter: expectedPermittime
WARNING:root:No value found for class: TechnologiesEmlab, object: PV_commercial_systems, parameter: expectedPermittime
WARNING:root:No value found for class: TechnologiesEmlab, object: PV_residential, parameter: expectedPermittime
WARNING:root:No value found for class: TechnologiesEmlab, object: Power_to_Jet_Fuel, parameter: expectedPermittime
WARNING:root:No value found for class: TechnologiesEmlab, object: Wave_energy, parameter: expectedPermittime
WARNING:root:No value found for class: TechnologiesEmlab, object: CSP_Parabolic, parameter: traderesfuels
WARNING:root:No value found for class: TechnologiesEmlab, object: CSP_Tower, parameter: traderesfuels
WARNING:root:No value found for class: TechnologiesEmlab, object: Hydropower_ROR, parameter: traderesfuels
WARNING:root:No value found for class: TechnologiesEmlab, object: Hydropower_reservoir_large, parameter: traderesfuels
WARNING:root:No value found for class: TechnologiesEmlab, object: Hydropower_reservoir_medium, parameter: traderesfuels
WARNING:root:No value found for class: TechnologiesEmlab, object: Hydropower_reservoir_small, parameter: traderesfuels
WARNING:root:No value found for class: TechnologiesEmlab, object: Lithium_ion_battery, parameter: traderesfuels
WARNING:root:No value found for class: TechnologiesEmlab, object: PEM_Electrolyzer, parameter: traderesfuels
WARNING:root:No value found for class: TechnologiesEmlab, object: PV_commercial_systems, parameter: traderesfuels
WARNING:root:No value found for class: TechnologiesEmlab, object: PV_residential, parameter: traderesfuels
WARNING:root:No value found for class: TechnologiesEmlab, object: PV_utility_systems, parameter: traderesfuels
WARNING:root:No value found for class: TechnologiesEmlab, object: Power_to_Jet_Fuel, parameter: traderesfuels
WARNING:root:No value found for class: TechnologiesEmlab, object: Pumped_hydro, parameter: traderesfuels
WARNING:root:No value found for class: TechnologiesEmlab, object: WTG_offshore, parameter: traderesfuels
WARNING:root:No value found for class: TechnologiesEmlab, object: WTG_onshore, parameter: traderesfuels
WARNING:root:No value found for class: TechnologiesEmlab, object: Wave_energy, parameter: traderesfuels
WARNING:root:No value found for class: electricity, object: Biomass_CHP_wood_pellets_DH, parameter: apparent_power
WARNING:root:No value found for class: electricity, object: Biomass_CHP_wood_pellets_PH, parameter: apparent_power
WARNING:root:No value found for class: electricity, object: CCGT, parameter: apparent_power
WARNING:root:No value found for class: electricity, object: CCGT_CHP_backpressure_DH, parameter: apparent_power
WARNING:root:No value found for class: electricity, object: CCGT_CHP_backpressure_PH, parameter: apparent_power
WARNING:root:No value found for class: electricity, object: CCS, parameter: apparent_power
WARNING:root:No value found for class: electricity, object: CSP_Parabolic, parameter: apparent_power
WARNING:root:No value found for class: electricity, object: CSP_Tower, parameter: apparent_power
WARNING:root:No value found for class: electricity, object: Hydrogen_to_Jet_Fuel, parameter: apparent_power
WARNING:root:No value found for class: electricity, object: Hydropower_ROR, parameter: apparent_power
WARNING:root:No value found for class: electricity, object: Hydropower_reservoir_large, parameter: apparent_power
WARNING:root:No value found for class: electricity, object: Hydropower_reservoir_medium, parameter: apparent_power
WARNING:root:No value found for class: electricity, object: Hydropower_reservoir_small, parameter: apparent_power
WARNING:root:No value found for class: electricity, object: OCGT, parameter: apparent_power
WARNING:root:No value found for class: electricity, object: PEM_Electrolyzer, parameter: apparent_power
WARNING:root:No value found for class: electricity, object: PV_commercial_systems, parameter: apparent_power
WARNING:root:No value found for class: electricity, object: PV_residential, parameter: apparent_power
